"Family","DiagramIndex","Example03Group","Example03Topology","Example03GraphIndex","Example03PrimaryQ","PropagatorCount","PreselectionZeroVars","PreselectionEffectivePropagatorCount","InternalLines","ExternalLines","PySecDecInput"
"""planar""","204","""other""","""""","""""","False","7","{x1, x2}","5","{{""0"", {2, 3}}, {""0"", {2, 6}}, {""0"", {3, 4}}, {""0"", {4, 1}}, {""0"", {5, 1}}, {""0"", {5, 6}}, {""0"", {6, 1}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [2, 3]], [\""0\"", [2, 6]], [\""0\"", [3, 4]], [\""0\"", [4, 1]], [\""0\"", [5, 1]], [\""0\"", [5, 6]], [\""0\"", [6, 1]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""planar""","208","""other""","""""","""""","False","7","{x1, x3}","5","{{""0"", {2, 4}}, {""0"", {2, 6}}, {""0"", {3, 1}}, {""0"", {3, 4}}, {""0"", {5, 1}}, {""0"", {5, 6}}, {""0"", {6, 1}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [2, 4]], [\""0\"", [2, 6]], [\""0\"", [3, 1]], [\""0\"", [3, 4]], [\""0\"", [5, 1]], [\""0\"", [5, 6]], [\""0\"", [6, 1]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""planar""","214","""other""","""""","""""","False","7","{x1, x4}","5","{{""0"", {1, 2}}, {""0"", {1, 3}}, {""0"", {3, 6}}, {""0"", {4, 2}}, {""0"", {4, 5}}, {""0"", {5, 6}}, {""0"", {6, 2}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 2]], [\""0\"", [1, 3]], [\""0\"", [3, 6]], [\""0\"", [4, 2]], [\""0\"", [4, 5]], [\""0\"", [5, 6]], [\""0\"", [6, 2]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""planar""","218","""other""","""""","""""","False","7","{x1, x3}","5","{{""0"", {1, 2}}, {""0"", {1, 4}}, {""0"", {3, 2}}, {""0"", {3, 5}}, {""0"", {4, 6}}, {""0"", {5, 6}}, {""0"", {6, 2}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 2]], [\""0\"", [1, 4]], [\""0\"", [3, 2]], [\""0\"", [3, 5]], [\""0\"", [4, 6]], [\""0\"", [5, 6]], [\""0\"", [6, 2]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""planar""","219","""other""","""""","""""","False","7","{x1, x2}","5","{{""0"", {1, 2}}, {""0"", {1, 4}}, {""0"", {3, 5}}, {""0"", {3, 6}}, {""0"", {4, 6}}, {""0"", {5, 2}}, {""0"", {6, 2}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 2]], [\""0\"", [1, 4]], [\""0\"", [3, 5]], [\""0\"", [3, 6]], [\""0\"", [4, 6]], [\""0\"", [5, 2]], [\""0\"", [6, 2]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""planar""","242","""other""","""""","""""","False","7","{x0, x4}","5","{{""0"", {1, 3}}, {""0"", {1, 6}}, {""0"", {3, 2}}, {""0"", {4, 2}}, {""0"", {4, 5}}, {""0"", {5, 6}}, {""0"", {6, 2}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 3]], [\""0\"", [1, 6]], [\""0\"", [3, 2]], [\""0\"", [4, 2]], [\""0\"", [4, 5]], [\""0\"", [5, 6]], [\""0\"", [6, 2]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""planar""","252","""other""","""""","""""","False","7","{x3}","6","{{""0"", {1, 4}}, {""0"", {1, 6}}, {""0"", {3, 2}}, {""0"", {3, 5}}, {""0"", {4, 2}}, {""0"", {5, 6}}, {""0"", {6, 2}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 4]], [\""0\"", [1, 6]], [\""0\"", [3, 2]], [\""0\"", [3, 5]], [\""0\"", [4, 2]], [\""0\"", [5, 6]], [\""0\"", [6, 2]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""planar""","253","""other""","""""","""""","False","7","{x2}","6","{{""0"", {1, 4}}, {""0"", {1, 6}}, {""0"", {3, 5}}, {""0"", {3, 6}}, {""0"", {4, 2}}, {""0"", {5, 2}}, {""0"", {6, 2}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 4]], [\""0\"", [1, 6]], [\""0\"", [3, 5]], [\""0\"", [3, 6]], [\""0\"", [4, 2]], [\""0\"", [5, 2]], [\""0\"", [6, 2]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""planar""","262","""other""","""""","""""","False","7","{x1, x3}","5","{{""0"", {2, 1}}, {""0"", {2, 4}}, {""0"", {3, 1}}, {""0"", {3, 5}}, {""0"", {4, 6}}, {""0"", {5, 6}}, {""0"", {6, 1}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [2, 1]], [\""0\"", [2, 4]], [\""0\"", [3, 1]], [\""0\"", [3, 5]], [\""0\"", [4, 6]], [\""0\"", [5, 6]], [\""0\"", [6, 1]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""planar""","263","""other""","""""","""""","False","7","{x1, x2}","5","{{""0"", {2, 1}}, {""0"", {2, 4}}, {""0"", {3, 5}}, {""0"", {3, 6}}, {""0"", {4, 6}}, {""0"", {5, 1}}, {""0"", {6, 1}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [2, 1]], [\""0\"", [2, 4]], [\""0\"", [3, 5]], [\""0\"", [3, 6]], [\""0\"", [4, 6]], [\""0\"", [5, 1]], [\""0\"", [6, 1]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""planar""","268","""other""","""""","""""","False","7","{x3}","6","{{""0"", {2, 4}}, {""0"", {2, 6}}, {""0"", {3, 1}}, {""0"", {3, 5}}, {""0"", {4, 1}}, {""0"", {5, 6}}, {""0"", {6, 1}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [2, 4]], [\""0\"", [2, 6]], [\""0\"", [3, 1]], [\""0\"", [3, 5]], [\""0\"", [4, 1]], [\""0\"", [5, 6]], [\""0\"", [6, 1]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""planar""","269","""other""","""""","""""","False","7","{x2}","6","{{""0"", {2, 4}}, {""0"", {2, 6}}, {""0"", {3, 5}}, {""0"", {3, 6}}, {""0"", {4, 1}}, {""0"", {5, 1}}, {""0"", {6, 1}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [2, 4]], [\""0\"", [2, 6]], [\""0\"", [3, 5]], [\""0\"", [3, 6]], [\""0\"", [4, 1]], [\""0\"", [5, 1]], [\""0\"", [6, 1]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
"""planar""","272","""other""","""""","""""","False","8","{x1, x2, x4}","5","{{""0"", {1, 2}}, {""0"", {1, 3}}, {""0"", {2, 6}}, {""0"", {3, 7}}, {""0"", {4, 5}}, {""0"", {4, 7}}, {""0"", {5, 6}}, {""0"", {6, 7}}}","{{p1, 1}, {p2, 2}, {p3, 3}, {p4, 4}, {p5, 5}}","""internal_lines = [[\""0\"", [1, 2]], [\""0\"", [1, 3]], [\""0\"", [2, 6]], [\""0\"", [3, 7]], [\""0\"", [4, 5]], [\""0\"", [4, 7]], [\""0\"", [5, 6]], [\""0\"", [6, 7]]]\nexternal_lines = [[\""p1\"", 1], [\""p2\"", 2], [\""p3\"", 3], [\""p4\"", 4], [\""p5\"", 5]]"""
