"ScanIndex","Family","DiagramIndex","Example03Group","Example03Topology","Example03GraphIndex","Example03PrimaryQ","PropagatorCount","TopologyName","RegionType","ZeroVars","RemainingVars","PreselectionZeroVars","PreselectionEffectivePropagatorCount","F0TermCount","ObstructionRecordQ","ValidObstructionTrialCount","CandidateGeneratorCount","GeneratorCount","GeneratorSetFactorCount","SearchMethod","CancellationFactorCount","CancellationFactorClassCounts","PolynomialCancellationFactorQ","SLSectorFactorCount","SLSectorFactorClassCounts","SLSectorAllBinomialQ","SLSectorPolynomialFactorQ","AcceptedScalingQ","ScalingVector","AcceptedScalingCount","ScalingStatus","HRFoundWithScalingQ"
"11","nonplanar","116","03 eight","G_us","4","True","8","G_us","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{}","8","19","False","0","0","0","0","Missing[""NoObstructionData""]","2","<|""polynomial-8-term"" -> 1, ""polynomial-9-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"12","nonplanar","78","03 eight","G_uu","5","True","8","G_uu","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x4, x7}","6","19","False","1","1","0","0","Missing[""NoObstructionData""]","3","<|""polynomial-6-term"" -> 1, ""polynomial-9-term"" -> 1, ""binomial"" -> 1|>","True","0","<||>","False","False","False","Missing[""NoHiddenRegionWithValidScaling""]","0","Missing[""NoHiddenRegionWithValidScaling""]","False"
"13","nonplanar","144","03 eight","G_ts","6","True","8","G_ts","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x4, x7}","6","13","False","0","0","0","0","Missing[""NoObstructionData""]","4","<|""polynomial-3-term"" -> 2, ""polynomial-7-term"" -> 2|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"14","nonplanar","151","03 eight","G_st","7","True","8","G_st","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{}","8","19","False","0","0","0","0","Missing[""NoObstructionData""]","0","<||>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"15","nonplanar","114","03 eight","G_ut","8","True","8","G_ut","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x4, x7}","6","19","False","0","0","0","0","Missing[""NoObstructionData""]","0","<||>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"16","nonplanar","133","03 eight","G_tu","9","True","8","G_tu","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x4, x7}","6","13","False","2","2","0","0","Missing[""NoObstructionData""]","6","<|""polynomial-7-term"" -> 2, ""polynomial-3-term"" -> 2, ""binomial"" -> 2|>","True","0","<||>","False","False","False","Missing[""NoHiddenRegionWithValidScaling""]","0","Missing[""NoHiddenRegionWithValidScaling""]","False"
"17","planar","51","other","","","False","6","planar:51","Interior","{}","{x0, x1, x2, x3, x4, x5}","{x2}","5","7","False","0","0","0","0","Missing[""NoObstructionData""]","2","<|""polynomial-4-term"" -> 1, ""polynomial-3-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"18","planar","53","other","","","False","6","planar:53","Interior","{}","{x0, x1, x2, x3, x4, x5}","{x2}","5","6","False","0","0","0","0","Missing[""NoObstructionData""]","2","<|""polynomial-4-term"" -> 1, ""binomial"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"19","planar","154","other","","","False","7","planar:154","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x1, x2}","5","13","False","1","1","0","0","Missing[""NoObstructionData""]","2","<|""polynomial-4-term"" -> 1, ""binomial"" -> 1|>","True","0","<||>","False","False","False","Missing[""NoHiddenRegionWithValidScaling""]","0","Missing[""NoHiddenRegionWithValidScaling""]","False"
"20","planar","174","other","","","False","7","planar:174","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x1, x3}","5","12","False","1","1","0","0","Missing[""NoObstructionData""]","3","<|""polynomial-4-term"" -> 1, ""binomial"" -> 2|>","True","0","<||>","False","False","False","Missing[""NoHiddenRegionWithValidScaling""]","0","Missing[""NoHiddenRegionWithValidScaling""]","False"
"21","planar","204","other","","","False","7","planar:204","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x1, x2}","5","9","False","0","0","0","0","Missing[""NoObstructionData""]","2","<|""polynomial-7-term"" -> 1, ""polynomial-3-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"22","planar","208","other","","","False","7","planar:208","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x1, x3}","5","13","False","0","0","0","0","Missing[""NoObstructionData""]","3","<|""binomial"" -> 1, ""polynomial-7-term"" -> 1, ""polynomial-5-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"23","planar","214","other","","","False","7","planar:214","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x1, x4}","5","13","False","0","0","0","0","Missing[""NoObstructionData""]","3","<|""polynomial-6-term"" -> 2, ""polynomial-7-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"24","planar","218","other","","","False","7","planar:218","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x1, x3}","5","12","False","0","0","0","0","Missing[""NoObstructionData""]","4","<|""polynomial-6-term"" -> 3, ""binomial"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"25","planar","219","other","","","False","7","planar:219","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x1, x2}","5","13","False","0","0","0","0","Missing[""NoObstructionData""]","3","<|""polynomial-7-term"" -> 1, ""polynomial-6-term"" -> 2|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"26","planar","242","other","","","False","7","planar:242","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x0, x4}","5","12","False","0","0","0","0","Missing[""NoObstructionData""]","4","<|""binomial"" -> 1, ""polynomial-6-term"" -> 3|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"27","planar","252","other","","","False","7","planar:252","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x3}","6","12","False","0","0","0","0","Missing[""NoObstructionData""]","4","<|""polynomial-6-term"" -> 3, ""binomial"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"28","planar","253","other","","","False","7","planar:253","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x2}","6","13","False","0","0","0","0","Missing[""NoObstructionData""]","3","<|""polynomial-6-term"" -> 2, ""polynomial-7-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"29","planar","262","other","","","False","7","planar:262","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x1, x3}","5","13","False","0","0","0","0","Missing[""NoObstructionData""]","0","<||>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"30","planar","263","other","","","False","7","planar:263","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x1, x2}","5","13","False","0","0","0","0","Missing[""NoObstructionData""]","1","<|""polynomial-3-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"31","planar","268","other","","","False","7","planar:268","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x3}","6","13","False","0","0","0","0","Missing[""NoObstructionData""]","1","<|""polynomial-3-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"32","planar","269","other","","","False","7","planar:269","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x2}","6","12","False","0","0","0","0","Missing[""NoObstructionData""]","2","<|""binomial"" -> 2|>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"33","planar","272","other","","","False","8","planar:272","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x1, x2, x4}","5","23","False","0","0","0","0","Missing[""NoObstructionData""]","4","<|""polynomial-10-term"" -> 4|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"34","planar","273","other","","","False","8","planar:273","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x1, x2, x3}","5","22","False","0","0","0","0","Missing[""NoObstructionData""]","2","<|""polynomial-6-term"" -> 1, ""polynomial-10-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
